iter	Logloss
0	0.6829195837
1	0.673830579
2	0.6667820167
3	0.6593366992
4	0.6525846432
5	0.6473378962
6	0.6413538547
7	0.6362957371
8	0.6321793823
9	0.6285567846
10	0.6250285031
11	0.619589985
12	0.6150112175
13	0.611830534
14	0.6087271385
15	0.6061913896
16	0.6024525063
17	0.6002185014
18	0.5983011567
19	0.5954123769
20	0.5933267861
21	0.5917253938
22	0.5896397597
23	0.5877898129
24	0.585602998
25	0.5836660114
26	0.5803437887
27	0.5789187145
28	0.5775423641
29	0.5745815164
30	0.572626096
31	0.5701207428
32	0.5689364807
33	0.5670314703
34	0.5654289244
35	0.5639457778
36	0.5624993137
37	0.5608993432
38	0.5599833011
39	0.5589527823
40	0.5580044231
41	0.5571763751
42	0.555931253
43	0.5550884167
44	0.5534008962
45	0.552351218
46	0.5508098113
47	0.55000424
48	0.5492116772
49	0.5479911567
50	0.54741391
51	0.5463087927
52	0.5453910468
53	0.5446896804
54	0.5428868848
55	0.5417594356
56	0.5405696819
57	0.5400791695
58	0.5396930047
59	0.5389000191
60	0.5384879033
61	0.5377672385
62	0.5368552949
63	0.5362671721
64	0.5358515457
65	0.5343040161
66	0.5334842767
67	0.5325900384
68	0.5321831358
69	0.5314694975
70	0.5311149722
71	0.5299185485
72	0.5290016509
73	0.5286194159
74	0.5278698503
75	0.5270909937
76	0.5264819273
77	0.5258956914
78	0.5247166776
79	0.5244940521
80	0.5239283656
81	0.5236148478
82	0.5233388612
83	0.5228924565
84	0.5225929228
85	0.52228418
86	0.521763233
87	0.5212115008
88	0.5207893749
89	0.5205440224
90	0.5201158907
91	0.5197218587
92	0.519466892
93	0.5185149404
94	0.5181804549
95	0.5178455412
96	0.5175916304
97	0.5168562542
98	0.5164894238
99	0.5161173188
100	0.5157734588
101	0.5151896158
102	0.5149510552
103	0.5145900168
104	0.5142825813
105	0.5139030799
106	0.513449112
107	0.5128190803
108	0.5125222443
109	0.5122987863
110	0.5115622574
111	0.5113567523
112	0.5110644376
113	0.5109390107
114	0.5106711578
115	0.5104119185
116	0.5100415003
117	0.5097892374
118	0.508905384
119	0.50864043
120	0.5082558276
121	0.5079440757
122	0.5074250018
123	0.506777913
124	0.5066918311
125	0.5062407254
126	0.5057763337
127	0.5055374019
128	0.5051511017
129	0.5049981257
130	0.5045570433
131	0.5037806824
132	0.5034311985
133	0.5032372772
134	0.5029558909
135	0.5025441427
136	0.5023922608
137	0.5021635053
138	0.5014222784
139	0.5010214557
140	0.5007447723
141	0.5004452285
142	0.500295413
143	0.5000822727
144	0.4998202466
145	0.4991426544
146	0.4988776081
147	0.4981989287
148	0.49800378
149	0.4976905129
150	0.4973819272
151	0.4970288499
152	0.4969357874
153	0.4967363025
154	0.4961934592
155	0.4958117624
156	0.4955275596
157	0.495373415
158	0.4951136411
159	0.4947461612
160	0.4944729557
161	0.4940020831
162	0.4935552183
163	0.4933093845
164	0.4931858199
165	0.4927069155
166	0.4926340813
167	0.4924796083
168	0.4921835206
169	0.4920564129
170	0.4915558979
171	0.491265595
172	0.4908329537
173	0.4905662446
174	0.4901594728
175	0.4898775449
176	0.489716101
177	0.4895295167
178	0.4892284886
179	0.4890633677
180	0.4887074914
181	0.4884027386
182	0.488235402
183	0.4878903653
184	0.4873473536
185	0.4869898602
186	0.4865749311
187	0.4863295266
188	0.4860390576
189	0.4858068958
190	0.4855394486
191	0.4853651976
192	0.4850422929
193	0.4847377818
194	0.4845794897
195	0.4844039855
196	0.4840022215
197	0.4837281781
198	0.4835027116
199	0.4832453713
200	0.4830064108
201	0.4826532513
202	0.4823151713
203	0.4819732799
204	0.4818611849
205	0.481404377
206	0.4811901241
207	0.4810416523
208	0.4807989934
209	0.4805420405
210	0.4803711713
211	0.4801514446
212	0.4798993545
213	0.4795340175
214	0.4792451136
215	0.4789375616
216	0.4787563175
217	0.4786189991
218	0.4783263824
219	0.478102981
220	0.4778630294
221	0.4775700931
222	0.4774019673
223	0.4771044311
224	0.4768510412
225	0.4765006866
226	0.4762348302
227	0.4761360544
228	0.4759602742
229	0.4756986139
230	0.4754974872
231	0.4753155324
232	0.4751291318
233	0.4749229674
234	0.4747139567
235	0.4745775933
236	0.4743760961
237	0.4742710925
238	0.4739729754
239	0.4737130672
240	0.473533429
241	0.4732803522
242	0.4731581955
243	0.4730084959
244	0.472838545
245	0.4726319459
246	0.4725302721
247	0.472269192
248	0.4721483571
249	0.4720149949
250	0.471861843
251	0.4716244583
252	0.4714974343
253	0.4712206016
254	0.4709783012
255	0.4708911619
256	0.4706566954
257	0.4704674832
258	0.4702549548
259	0.4700214404
260	0.4697914741
261	0.469523099
262	0.4693914366
263	0.4692143036
264	0.4691156356
265	0.4690054623
266	0.468825515
267	0.4685715622
268	0.4683857548
269	0.468257727
270	0.468099416
271	0.4679895751
272	0.4678095177
273	0.4676114494
274	0.4674702001
275	0.4673465858
276	0.4671534964
277	0.4669337431
278	0.4668343708
279	0.4666810159
280	0.4665630827
281	0.4663520238
282	0.4662709705
283	0.4661423959
284	0.4660686201
285	0.4658781237
286	0.4657651393
287	0.4656204419
288	0.4653763408
289	0.4652626287
290	0.4650659555
291	0.4648888915
292	0.4646289276
293	0.4645232843
294	0.4643073042
295	0.4640532309
296	0.463981671
297	0.4638809972
298	0.4637753559
299	0.463620861
300	0.4634925478
301	0.4633606494
302	0.4632488171
303	0.4630415151
304	0.4629722831
305	0.4627342314
306	0.4626522269
307	0.462477649
308	0.4623161087
309	0.4622172
310	0.4620527457
311	0.4619082588
312	0.4617316219
313	0.4615302481
314	0.4613867683
315	0.4612379227
316	0.4611199898
317	0.4609964007
318	0.4609088767
319	0.4608320286
320	0.4607062966
321	0.4605733304
322	0.4604556966
323	0.4603519553
324	0.4602546279
325	0.4601613741
326	0.4600514497
327	0.4599901601
328	0.4598911731
329	0.4598002725
330	0.4596378308
331	0.4595001809
332	0.4593708517
333	0.4591623587
334	0.459046554
335	0.4589175395
336	0.4587615071
337	0.4586562625
338	0.4584729456
339	0.4583856545
340	0.4582683219
341	0.4580953593
342	0.4580063894
343	0.4577978482
344	0.4576814936
345	0.4575572175
346	0.4573695587
347	0.457288322
348	0.4572144509
349	0.4570973136
350	0.4569707579
351	0.4567916301
352	0.4565509391
353	0.4564268349
354	0.456324583
