iter	Passed	Remaining
0	3	1589
1	5	1449
2	8	1332
3	10	1308
4	12	1258
5	14	1224
6	17	1214
7	19	1196
8	21	1177
9	23	1161
10	26	1161
11	28	1160
12	30	1154
13	33	1158
14	35	1151
15	37	1143
16	39	1136
17	42	1148
18	45	1154
19	47	1148
20	50	1147
21	52	1140
22	55	1141
23	57	1136
24	59	1131
25	62	1132
26	64	1128
27	66	1126
28	70	1137
29	72	1136
30	75	1135
31	77	1131
32	79	1125
33	81	1123
34	84	1123
35	87	1122
36	89	1118
37	91	1112
38	95	1127
39	98	1131
40	101	1131
41	104	1136
42	106	1131
43	108	1128
44	111	1124
45	113	1123
46	116	1119
47	118	1116
48	121	1118
49	123	1114
50	126	1111
51	128	1108
52	131	1106
53	133	1104
54	135	1100
55	138	1094
56	140	1089
57	142	1085
58	144	1080
59	146	1076
60	149	1073
61	151	1071
62	154	1069
63	156	1068
64	159	1065
65	161	1061
66	163	1058
67	166	1055
68	168	1053
69	170	1049
70	173	1046
71	175	1043
72	177	1039
73	180	1039
74	182	1036
75	185	1033
76	187	1029
77	189	1026
78	191	1023
79	194	1021
80	196	1017
81	199	1016
82	201	1013
83	203	1009
84	206	1006
85	208	1004
86	210	1001
87	213	998
88	215	996
89	218	994
90	220	991
91	222	988
92	225	985
93	227	983
94	229	980
95	232	978
96	234	975
97	237	973
98	239	969
99	242	970
100	245	970
101	249	973
102	251	971
103	254	968
104	256	966
105	258	962
106	261	959
107	263	956
108	265	953
109	267	950
110	270	946
111	272	943
112	274	940
113	277	939
114	279	935
115	281	932
116	284	929
117	286	926
118	288	923
119	291	921
120	293	918
121	295	916
122	298	913
123	300	910
124	302	908
125	305	906
126	308	904
127	310	902
128	312	899
129	315	897
130	317	895
131	320	892
132	322	889
133	324	886
134	327	886
135	330	884
136	332	881
137	335	879
138	337	876
139	340	875
140	342	872
141	346	874
142	349	872
143	351	870
144	354	867
145	356	864
146	358	861
147	361	858
148	363	856
149	365	853
150	368	850
151	370	848
152	373	846
153	375	844
154	378	841
155	380	839
156	383	837
157	385	834
158	387	831
159	389	828
160	392	826
161	394	823
162	397	821
163	400	820
164	403	818
165	405	815
166	407	812
167	409	810
168	412	807
169	415	806
170	418	806
171	422	805
172	425	804
173	428	802
174	431	801
175	436	804
176	439	802
177	442	799
178	444	797
179	446	794
180	449	791
181	451	788
182	453	785
183	456	783
184	458	781
185	461	779
186	464	777
187	468	777
188	471	776
189	474	773
190	477	771
191	480	771
192	484	770
193	488	770
194	491	769
195	495	768
196	498	766
197	501	765
198	504	762
199	507	761
200	510	759
201	513	756
202	516	754
203	518	753
204	522	752
205	525	750
206	528	748
207	530	745
208	533	743
209	536	741
210	538	738
211	541	735
212	543	732
213	545	729
214	548	727
215	550	724
216	553	721
217	556	719
218	558	716
219	561	714
220	563	711
221	566	708
222	568	706
223	571	703
224	573	700
225	575	697
226	577	694
227	580	692
228	582	689
229	584	686
230	587	684
231	590	681
232	592	678
233	595	676
234	597	673
235	600	671
236	602	668
237	605	666
238	607	663
239	610	661
240	613	659
241	615	656
242	618	653
243	620	651
244	623	648
245	625	646
246	628	643
247	630	640
248	633	638
249	635	635
250	638	633
251	640	630
252	642	627
253	645	625
254	647	622
255	650	620
256	652	617
257	655	614
258	657	612
259	660	609
260	662	606
261	664	604
262	667	601
263	670	599
264	672	596
265	675	594
266	677	591
267	680	588
268	682	585
269	684	583
270	687	580
271	689	578
272	692	575
273	694	572
274	697	570
275	699	568
276	702	565
277	704	562
278	707	560
279	709	557
280	712	555
281	715	553
282	718	551
283	720	548
284	723	545
285	725	543
286	728	540
287	731	538
288	733	535
289	736	533
290	738	530
291	741	528
292	743	525
293	746	523
294	748	520
295	751	517
296	753	515
297	756	512
298	759	510
299	761	507
300	763	505
301	766	502
302	769	500
303	771	497
304	773	494
305	776	492
306	778	489
307	781	486
308	783	484
309	786	481
310	788	479
311	790	476
312	793	473
313	795	471
314	798	468
315	800	466
316	803	463
317	805	461
318	808	458
319	810	456
320	813	453
321	815	450
322	818	448
323	820	445
324	823	443
325	826	441
326	830	439
327	834	437
328	836	434
329	839	432
330	842	430
331	845	427
332	847	425
333	850	422
334	853	420
335	855	417
336	858	415
337	860	412
338	863	410
339	866	407
340	868	404
341	870	402
342	873	399
343	875	397
344	878	394
345	881	392
346	884	389
347	887	387
348	890	385
349	893	382
350	896	380
351	899	378
352	902	375
353	904	373
354	908	370
355	911	368
356	914	366
357	917	364
358	920	361
359	923	359
360	926	356
361	929	354
362	932	351
363	935	349
364	937	346
365	940	344
366	942	341
367	945	339
368	947	336
369	950	333
370	952	331
371	955	328
372	957	326
373	960	323
374	963	321
375	965	318
376	967	315
377	970	313
378	973	310
379	975	308
380	978	305
381	980	302
382	982	300
383	985	297
384	988	295
385	991	292
386	993	290
387	996	287
388	998	284
389	1000	282
390	1003	279
391	1005	277
392	1008	274
393	1010	271
394	1012	269
395	1015	266
396	1017	263
397	1019	261
398	1022	258
399	1024	256
400	1026	253
401	1029	250
402	1032	248
403	1034	245
404	1037	243
405	1039	240
406	1042	238
407	1044	235
408	1046	232
409	1049	230
410	1051	227
411	1053	225
412	1055	222
413	1057	219
414	1060	217
415	1062	214
416	1065	212
417	1067	209
418	1070	206
419	1072	204
420	1075	201
421	1080	199
422	1083	197
423	1086	194
424	1089	192
425	1091	189
426	1094	187
427	1096	184
428	1099	181
429	1101	179
430	1104	176
431	1107	174
432	1110	171
433	1112	169
434	1115	166
435	1117	164
436	1120	161
437	1122	158
438	1124	156
439	1127	153
440	1129	151
441	1132	148
442	1134	146
443	1137	143
444	1139	140
445	1142	138
446	1145	135
447	1147	133
448	1150	130
449	1152	128
450	1154	125
451	1157	122
452	1160	120
453	1162	117
454	1164	115
455	1167	112
456	1169	110
457	1172	107
458	1174	104
459	1177	102
460	1179	99
461	1182	97
462	1184	94
463	1187	92
464	1189	89
465	1192	87
466	1195	84
467	1197	81
468	1199	79
469	1202	76
470	1204	74
471	1207	71
472	1210	69
473	1212	66
474	1215	63
475	1217	61
476	1220	58
477	1222	56
478	1226	53
479	1229	51
480	1232	48
481	1234	46
482	1237	43
483	1239	40
484	1242	38
485	1245	35
486	1247	33
487	1249	30
488	1252	28
489	1254	25
490	1257	23
491	1259	20
492	1262	17
493	1264	15
494	1267	12
495	1270	10
496	1272	7
497	1275	5
498	1277	2
